,Feature,Score
251,min_deductiondate_4917603D,19.54994994038776
265,mean_dateofcredend_353D,18.8828556445286
656,max_rejectreason_755M_P94_109_143,18.694104925318605
144,max_credacc_minhisbal_90A,18.687599576054563
787,max_remitter_829L_nan,18.682206739590185
774,max_relationshiptoclient_415T_nan,18.682206739590185
785,max_relationshiptoclient_642T_nan,18.682206739590185
790,max_role_1084L_PE,18.682206739574855
786,max_remitter_829L_False,18.682206739574855
706,max_education_927M_a55475b1,18.676064126227267
595,requesttype_4525192L_PENSION_6,18.31697141686228
272,min_dateofcredstart_739D,18.240099460588034
372,mean_pmts_dpd_1073P,18.138003096139183
196,min_revolvingaccount_394A,18.00378584704301
162,max_downpmt_134A,17.752442856497996
115,mean_annuity_853A,17.504316753899186
739,max_familystate_447L_MARRIED,17.398537878900605
622,max_inittransactioncode_279L_CASH,17.322932521028314
605,max_credtype_587L_CAL,17.322932521028314
760,max_language1_981M_P10_39_147,17.065286953912636
219,mean_persontype_1072L,17.05049353288841
591,education_1103M_a55475b1,17.02360501173365
603,max_credacc_status_367L_PO,16.827295416383055
198,mean_revolvingaccount_394A,16.818854423830118
243,min_recorddate_4527225D,16.619039875211552
241,max_recorddate_4527225D,16.619039875211552
242,mean_recorddate_4527225D,16.619039875211552
415,lastapprcommoditycat_1041M_P100_96_175,16.472500771879726
645,max_postype_4733339M_a55475b1,16.447120954878464
617,max_familystate_726L_LIVING_WITH_PARTNER,16.13023532547318
788,max_role_1084L_CL,16.03726156314925
104,responsedate_4527233D,15.943203540181363
948,max_contractst_964M_c400401f,15.848437051232965
409,disbursementtype_67L_SBA,15.799142138578478
413,inittransactioncode_186L_POS,15.470246991226684
36,lastdelinqdate_224D,15.38894134450744
1046,max_financialinstitution_382M_c79c3b45,15.290818990434207
833,max_classificationofcontr_400M_afc8fa18,15.290818990434207
919,max_contractst_964M_a4027f4c,15.290818990434207
24,dtlastpmtallstes_4499206D,15.253419024621998
599,max_credacc_status_367L_CA,15.10979127398253
1036,max_financialinstitution_382M_b619fa46,14.873015173680866
268,mean_dateofcredstart_181D,14.724828232355085
250,mean_deductiondate_4917603D,14.655553468066746
1211,max_purposeofcred_874M_d9ae1a0e,14.654822350501387
3,applicationscnt_867L,14.630881016334682
182,max_mainoccupationinc_437A,14.369446171481984
491,lastcancelreason_561M_P198_89_166,14.350242629527497
247,max_amount_4917619A,14.335436281937051
197,max_revolvingaccount_394A,14.008655336982015
289,min_instlamount_768A,13.571135816493163
138,sum_credacc_credlmt_575A,13.101461635179776
34,lastapprcredamount_781A,12.592429224975913
313,sum_numberofcontrsvalue_358L,12.4928923534197
177,mean_isbidproduct_390L,12.40907323542863
123,sum_byoccupationinc_3656910L,12.299244438908541
326,min_overdueamountmaxdatemonth_284T,12.062060978731989
754,max_incometype_1044T_OTHER,12.015742860912072
337,max_overdueamountmaxdateyear_994T,11.909838509136735
246,mean_amount_4917619A,11.817770623450823
1194,min_purposeofcred_874M_60c73645,11.564703949036323
181,min_mainoccupationinc_437A,11.093627837018285
350,min_residualamount_856A,11.0472035384873
423,lastapprcommoditycat_1041M_P12_6_178,10.900361478724435
868,max_classificationofcontr_400M_ec922b98,10.898952465318954
692,max_credacc_cards_status_52L_INACTIVE,10.810211140094383
0,WEEK_NUM,10.782789684601651
1224,max_subjectroles_name_541M_a55475b1,10.723227729126036
